Wavelength,QE
300,0.936599423
310,1.673817572
320,5.221724547
330,10.39570928
340,16.67123552
350,25.77816761
360,36.49675296
370,47.5880103
380,60.33677401
390,67.04129955
400,72.07919176
410,74.9613419
420,75.47633152
430,77.47187157
440,78.34942588
450,78.62801585
460,81.21937791
470,82.02773266
480,82.8785863
490,84.13414296
500,83.93893445
510,82.34119004
520,80.31280096
530,79.48249148
540,77.5961063
550,75.83070641
560,74.53162791
570,73.48121307
580,71.15019497
590,68.400623
600,65.98961594
610,62.80522805
620,59.87809749
630,57.78473785
640,54.55053849
650,51.61337742
660,49.73935673
670,47.72755068
680,46.28040999
690,45.35275046
700,43.76689609
710,41.69114616
720,38.48165147
730,36.43866819
740,33.67246551
750,31.62423591
760,30.20076799
770,28.1148047
780,27.23621395
790,23.94792883
800,23.0961677
810,20.77166671
820,19.42575565
830,18.48015583
840,17.82778193
850,16.31696769
860,15.05629864
870,15.3700757
880,12.84685422
890,11.54157135
900,11.35470616
910,10.34282946
920,7.86657159
930,7.19065453
940,7.466848221
950,6.109453986
960,4.731014036
970,4.653770243
980,4.624650705
990,3.450329252
1000,2.744665647
1010,2.264692898
1020,2.12210015
1030,1.717533755
1040,1.1689296
1050,0.84472873
1060,0.70588997
1070,0.561593333
1080,0.406422514
1090,0.306624878
1100,0.230679158
