Wavelength,Throughput
200,29.9993
201,42.2467
202,48.6814
203,7.8268
204,18.7212
205,4.7109
206,2.1087
207,8.8167
208,33.8661
209,74.7027
210,13.3927
211,15.9366
212,23.9813
213,6.6554
214,11.4097
215,21.3373
216,42.1685
217,4.1524
218,2.4733
219,3.9929
220,9.8035
221,20.7056
222,32.1324
223,15.8714
224,10.1194
225,11.2158
226,7.5131
227,7.7569
228,13.3144
229,15.3689
230,14.6326
231,4.1834
232,2.457
233,3.4219
234,8.1716
235,13.2015
236,9.1973
237,5.5498
238,5.3897
239,10.7243
240,31.4113
241,13.4081
242,5.6297
243,2.9719
244,2.2159
245,3.0708
246,9.8977
247,26.6097
248,21.6899
249,44.2643
250,48.5538
251,9.0096
252,2.3414
253,1.4682
254,3.1481
255,17.6157
256,0.7228
257,0.2691
258,0.2166
259,0.3066
260,0.7755
261,4.3876
262,29.3901
263,14.1508
264,15.5437
265,28.5307
266,53.9885
267,68.3903
268,60.5299
269,41.3869
270,27.8029
271,23.7904
272,25.8917
273,28.9265
274,27.646
275,25.3189
276,25.9565
277,29.2382
278,28.9355
279,23.0378
280,18.5303
281,16.4886
282,15.7271
283,16.9755
284,17.0017
285,8.0907
286,3.241
287,1.8142
288,1.4649
289,1.6511
290,2.4226
291,3.615
292,3.7694
293,3.1502
294,2.8038
295,2.7544
296,2.8557
297,2.9515
298,2.7503
299,2.1823
300,1.6342
301,1.3128
302,1.1887
303,1.2132
304,1.3901
305,1.8308
306,2.9756
307,6.8032
308,16.1999
309,5.9767
310,1.8621
311,0.8202
312,0.4497
313,0.2849
314,0.2005
315,0.1531
316,0.125
317,0.1083
318,0.099
319,0.0951
320,0.0958
321,0.1011
322,0.1121
323,0.1313
324,0.1633
325,0.2164
326,0.3049
327,0.4496
328,0.6566
329,0.8266
330,0.7821
331,0.6067
332,0.4678
333,0.3964
334,0.3773
335,0.3955
336,0.4355
337,0.4788
338,0.521
339,0.5948
340,0.786
341,1.3654
342,3.7956
343,8.9499
344,2.4763
345,0.9413
346,0.5385
347,0.3935
348,0.3368
349,0.3196
350,0.3232
351,0.3399
352,0.3677
353,0.4094
354,0.4706
355,0.5547
356,0.652
357,0.7212
358,0.7006
359,0.5839
360,0.438
361,0.3168
362,0.2316
363,0.1748
364,0.1371
365,0.1119
366,0.0947
367,0.0828
368,0.0747
369,0.0693
370,0.0662
371,0.0648
372,0.0652
373,0.0673
374,0.0711
375,0.0771
376,0.0858
377,0.0981
378,0.1156
379,0.1409
380,0.1782
381,0.2352
382,0.3253
383,0.4744
384,0.7338
385,1.2014
386,2.0062
387,2.9713
388,3.1453
389,2.4361
390,1.7254
391,1.2655
392,0.9894
393,0.8222
394,0.719
395,0.655
396,0.6165
397,0.596
398,0.5897
399,0.5964
400,0.6162
401,0.6505
402,0.7007
403,0.7684
404,0.854
405,0.9554
406,1.0676
407,1.1818
408,1.2877
409,1.3759
410,1.4418
411,1.4856
412,1.5115
413,1.5241
414,1.5272
415,1.5229
416,1.5113
417,1.4917
418,1.4632
419,1.4258
420,1.3807
421,1.3302
422,1.277
423,1.2238
424,1.1724
425,1.1242
426,1.0798
427,1.0396
428,1.0038
429,0.9725
430,0.9461
431,0.9251
432,0.91
433,0.9013
434,0.8995
435,0.905
436,0.9179
437,0.9384
438,0.9662
439,1.001
440,1.0417
441,1.0872
442,1.1356
443,1.1847
444,1.2318
445,1.2746
446,1.3106
447,1.3381
448,1.356
449,1.3639
450,1.3621
451,1.3526
452,1.3384
453,1.3187
454,1.2969
455,1.2766
456,1.2608
457,1.2522
458,1.2524
459,1.2622
460,1.2815
461,1.3093
462,1.3436
463,1.3814
464,1.4192
465,1.453
466,1.4789
467,1.4931
468,1.4924
469,1.4742
470,1.4374
471,1.3825
472,1.3121
473,1.2309
474,1.1446
475,1.0586
476,0.9773
477,0.9036
478,0.8389
479,0.7834
480,0.7364
481,0.6969
482,0.6638
483,0.6361
484,0.613
485,0.5938
486,0.5785
487,0.5669
488,0.5594
489,0.5561
